Job_Title,Skills,Education_Level,Preferred_Location,Experience
Cybersecurity Analyst,"Nmap, Network Security, Vulnerability Assessment, SIEM",M.Sc,Mumbai,10
Machine Learning Engineer,"Keras, Deep Learning, PyTorch, Python",MBA,Mumbai,1
Database Administrator,"Database Security, Replication, PostgreSQL, Monitoring, Performance Tuning, MySQL, Backup & Recovery",MCA,Mumbai,2
Database Administrator,"Database Security, Monitoring, Replication, Backup & Recovery, Indexing, PostgreSQL, SQL Queries",B.Sc,Bangalore,8
Cloud Engineer,"Monitoring, CloudFormation, AWS, Azure, Linux",M.Sc,Delhi,2
Machine Learning Engineer,"PyTorch, Scikit-Learn, Model Deployment, Deep Learning, Keras, ML Algorithms",B.Tech,Bangalore,0
Backend Developer,"Spring Boot, AWS, Java, MySQL, Docker, Git, Node.js",MCA,Chennai,1
DevOps Engineer,"Ansible, Linux, Terraform, AWS",B.Sc,Bangalore,8
Technical Support Engineer,"Hardware, Networking, Documentation, Customer Support, Troubleshooting, Windows OS",M.Tech,Remote,11
Full Stack Developer,"MongoDB, Node.js, REST APIs, Docker, React",B.Tech,Bangalore,10
Database Administrator,"Replication, Oracle, Backup & Recovery, Database Security, Performance Tuning",M.Sc,Chennai,3
Data Analyst,"Pandas, Power BI, Data Cleaning, Excel, SQL, Dashboarding",B.Tech,Chennai,4
DevOps Engineer,"AWS, Terraform, Jenkins, Ansible, Docker, Linux, Git",MCA,Bangalore,12
Technical Support Engineer,"Remote Support, Windows OS, Linux, Email Support, Hardware, Customer Support, Networking",B.Tech,Chennai,4
Product Manager,"Agile, User Stories, Jira, Scrum, Stakeholder Management",B.Tech,Bangalore,1
Full Stack Developer,"REST APIs, CSS, Git, HTML, React, Docker",MBA,Mumbai,2
Database Administrator,"Performance Tuning, Oracle, MySQL, Database Security",B.Sc,Bangalore,9
Cloud Engineer,"Linux, Terraform, Azure, Docker, GCP",B.Tech,Remote,4
Machine Learning Engineer,"Pandas, Python, AWS, Model Deployment",B.Tech,Bangalore,0
Cloud Engineer,"CloudFormation, Kubernetes, Docker, Monitoring",B.Tech,Chennai,6
Technical Support Engineer,"Hardware, Remote Support, Documentation, Ticketing Systems",B.Tech,Mumbai,3
System Administrator,"Linux, Monitoring, Shell Scripting, Backup Management",MBA,Chennai,1
Data Scientist,"Python, SQL, NumPy, Matplotlib, TensorFlow, Pandas, Data Visualization",B.Sc,Hyderabad,7
System Administrator,"Backup Management, Windows Server, Linux, Active Directory, Monitoring, Networking, Shell Scripting",M.Sc,Delhi,8
QA Engineer,"Manual Testing, Selenium, JIRA, API Testing",M.Sc,Pune,8
QA Engineer,"Manual Testing, Test Cases, Selenium, API Testing, Regression Testing",B.Sc,Remote,9
Machine Learning Engineer,"Deep Learning, Python, TensorFlow, Keras, PyTorch, Pandas",MCA,Mumbai,1
System Administrator,"Windows Server, Linux, Shell Scripting, Networking",M.Sc,Pune,3
UI/UX Designer,"Responsive Design, Figma, HTML, Sketch",M.Sc,Delhi,4
Data Analyst,"Python, Tableau, Data Cleaning, Pandas, SQL",MCA,Delhi,7
Frontend Developer,"Redux, JavaScript, React, Tailwind CSS, CSS, TypeScript, HTML",MBA,Remote,10
Technical Support Engineer,"Windows OS, Customer Support, Remote Support, Hardware, Troubleshooting, Email Support",M.Tech,Delhi,10
UI/UX Designer,"Adobe XD, Design Thinking, Wireframes, Figma, Prototyping, HTML, Responsive Design",MCA,Pune,2
Backend Developer,"Express.js, MongoDB, Docker, Node.js, MySQL, REST APIs",M.Tech,Remote,6
Product Manager,"Stakeholder Management, Wireframing, Product Strategy, Agile, A/B Testing, User Stories, KPIs",MBA,Bangalore,2
Cloud Engineer,"Azure, Monitoring, Linux, CloudFormation, Terraform, Docker, AWS",M.Tech,Chennai,6
IT Project Manager,"Project Planning, Client Communication, Team Management, Risk Management, Timeline Tracking, JIRA, Agile",MCA,Bangalore,0
Data Analyst,"Data Modeling, Statistics, Pandas, SQL, Power BI, Tableau, Dashboarding",B.Sc,Bangalore,7
Full Stack Developer,"Node.js, CSS, Docker, MongoDB, JavaScript",MBA,Hyderabad,5
Cloud Engineer,"Docker, CloudFormation, Monitoring, Kubernetes, AWS",M.Tech,Hyderabad,5
Cybersecurity Analyst,"Nmap, Incident Response, Network Security, Wireshark",B.Sc,Pune,10
Product Manager,"Jira, Scrum, Wireframing, User Stories, KPIs, A/B Testing",MBA,Mumbai,10
HR Executive,"HR Policies, Compliance, Interview Scheduling, Payroll, Attendance Management",M.Tech,Delhi,1
Technical Support Engineer,"Troubleshooting, Customer Support, Hardware, Documentation, Linux",MCA,Chennai,6
AI Researcher,"Research Papers, Mathematical Modeling, ML Frameworks, Python, TensorFlow",B.Tech,Chennai,5
Cybersecurity Analyst,"Vulnerability Assessment, Network Security, Wireshark, Nmap, SIEM",B.Tech,Chennai,0
Data Scientist,"Deep Learning, SQL, TensorFlow, NumPy, Pandas",MBA,Mumbai,12
DevOps Engineer,"Terraform, AWS, Git, Docker, CI/CD",B.Sc,Delhi,9
DevOps Engineer,"Monitoring, Git, Kubernetes, AWS, Terraform, Docker",M.Sc,Chennai,11
QA Engineer,"JIRA, Manual Testing, TestNG, Automation Testing, API Testing, Bug Tracking",M.Tech,Chennai,11
Cloud Engineer,"Azure, CI/CD, Docker, GCP, Linux, Kubernetes",M.Tech,Mumbai,8
HR Executive,"HRMS, Onboarding, Employee Relations, Compliance, Recruitment, Exit Formalities, Interview Scheduling",B.Sc,Chennai,11
Full Stack Developer,"HTML, MongoDB, Express.js, React, Git, Node.js",B.Sc,Hyderabad,0
Database Administrator,"PostgreSQL, SQL Queries, Oracle, Database Security, Replication, Backup & Recovery",M.Sc,Chennai,10
HR Executive,"Payroll, Employee Relations, Exit Formalities, HRMS, Interview Scheduling, Attendance Management",M.Tech,Mumbai,2
Business Analyst,"Documentation, Use Cases, Power BI, Stakeholder Communication, SQL",M.Sc,Hyderabad,7
HR Executive,"Compliance, Exit Formalities, Employee Relations, HRMS, HR Policies, Onboarding, Payroll",B.Sc,Remote,1
Machine Learning Engineer,"ML Algorithms, TensorFlow, AWS, Model Deployment, Deep Learning, PyTorch, Pandas",B.Tech,Hyderabad,3
System Administrator,"Active Directory, Shell Scripting, Linux, DNS, Backup Management",M.Sc,Chennai,8
Product Manager,"KPIs, Wireframing, Stakeholder Management, Agile, Jira, Scrum",M.Sc,Mumbai,10
Technical Support Engineer,"Email Support, Ticketing Systems, Windows OS, Hardware",B.Sc,Pune,4
HR Executive,"Compliance, Interview Scheduling, Payroll, Employee Relations, Onboarding, HR Policies",MCA,Delhi,7
HR Executive,"Attendance Management, Recruitment, Payroll, Exit Formalities, HRMS, Interview Scheduling, HR Policies",M.Tech,Remote,8
HR Executive,"Payroll, HRMS, Interview Scheduling, Recruitment, Exit Formalities, Compliance, HR Policies",B.Sc,Delhi,9
Cloud Engineer,"Kubernetes, Linux, CloudFormation, GCP",M.Sc,Mumbai,6
Software Engineer,"Data Structures, Python, Git, Algorithms, System Design, SQL",MCA,Hyderabad,2
HR Executive,"Exit Formalities, Employee Relations, Recruitment, Onboarding, Payroll, Attendance Management",B.Tech,Pune,1
Backend Developer,"Java, Spring Boot, Git, Docker, MongoDB",M.Sc,Bangalore,10
Data Scientist,"Statistics, NumPy, Deep Learning, Pandas, Data Visualization, TensorFlow",M.Sc,Hyderabad,4
HR Executive,"Attendance Management, HRMS, HR Policies, Payroll, Exit Formalities, Interview Scheduling, Onboarding",M.Sc,Mumbai,12
Data Scientist,"Deep Learning, Data Visualization, Scikit-Learn, Statistics, Pandas, Matplotlib, SQL",MBA,Remote,6
Business Analyst,"Excel, Tableau, Use Cases, Data Analysis",M.Tech,Remote,9
IT Project Manager,"JIRA, Client Communication, Risk Management, Scrum, Budget Management",M.Tech,Bangalore,2
IT Project Manager,"Client Communication, Reporting, Scrum, Agile, Team Management, Risk Management",M.Tech,Chennai,1
Frontend Developer,"Tailwind CSS, Responsive Design, CSS, JavaScript, Bootstrap, Redux",M.Tech,Pune,10
Backend Developer,"MongoDB, Node.js, Git, Java, AWS, Spring Boot",MBA,Pune,4
Machine Learning Engineer,"Deep Learning, Model Deployment, PyTorch, Pandas, ML Algorithms, TensorFlow",M.Sc,Delhi,8
Cybersecurity Analyst,"Risk Assessment, Network Security, Vulnerability Assessment, Incident Response, SIEM, Wireshark, Kali Linux",B.Sc,Mumbai,5
Cybersecurity Analyst,"Firewalls, Risk Assessment, SIEM, Kali Linux, Wireshark",M.Sc,Mumbai,12
QA Engineer,"TestNG, Performance Testing, API Testing, Bug Tracking",B.Sc,Hyderabad,5
System Administrator,"Networking, Linux, Firewall, Backup Management, Windows Server, Virtualization",M.Sc,Remote,1
Data Analyst,"Tableau, SQL, Dashboarding, Python",B.Tech,Mumbai,7
System Administrator,"Firewall, Monitoring, Networking, Shell Scripting, Linux, Windows Server",M.Tech,Hyderabad,9
Software Engineer,"OOP, System Design, Agile, Java",M.Tech,Bangalore,2
Backend Developer,"Spring Boot, Docker, AWS, MongoDB, Git, Java, MySQL",MCA,Delhi,0
Backend Developer,"MySQL, MongoDB, Spring Boot, Git, Docker, Java",MCA,Pune,0
Technical Support Engineer,"Email Support, Windows OS, Hardware, Customer Support, Linux",M.Tech,Mumbai,1
Cybersecurity Analyst,"Ethical Hacking, Network Security, Kali Linux, Wireshark, Nmap, Risk Assessment",M.Tech,Bangalore,2
UI/UX Designer,"Wireframes, User Research, Adobe XD, CSS, Design Thinking, Prototyping, Responsive Design",M.Tech,Hyderabad,10
DevOps Engineer,"CI/CD, AWS, Docker, Monitoring, Ansible, Terraform",B.Sc,Remote,5
Technical Support Engineer,"Customer Support, Email Support, Windows OS, Remote Support, Networking",M.Sc,Chennai,11
Frontend Developer,"Redux, CSS, TypeScript, JavaScript, React",M.Tech,Remote,6
Cybersecurity Analyst,"Risk Assessment, Nmap, Vulnerability Assessment, Incident Response, Firewalls",MCA,Remote,10
QA Engineer,"Regression Testing, API Testing, Bug Tracking, Performance Testing",B.Tech,Pune,12
